nickname,guesses,random_num,date
bot,7,80,2023-01-06 15:46:06 +0100
bot,6,92,2023-01-06 15:46:14 +0100
bot,5,53,2023-01-06 15:46:14 +0100
bot,6,76,2023-01-06 15:46:14 +0100
bot,7,90,2023-01-06 15:46:14 +0100
bot,6,69,2023-01-06 15:46:14 +0100
bot,7,14,2023-01-06 15:46:14 +0100
bot,6,32,2023-01-06 15:46:14 +0100
bot,7,30,2023-01-06 15:46:14 +0100
bot,5,71,2023-01-06 15:46:14 +0100
bot,6,26,2023-01-06 15:46:14 +0100
bot,5,84,2023-01-06 15:46:14 +0100
bot,5,59,2023-01-06 15:46:14 +0100
bot,6,82,2023-01-06 15:46:19 +0100
bot,7,49,2023-01-06 16:57:56 +0100
bot,5,91,2023-01-06 17:21:10 +0100
bot,7,55,2023-01-06 17:21:10 +0100
bot,4,56,2023-01-06 17:21:10 +0100
bot,5,59,2023-01-06 17:21:10 +0100
bot,7,80,2023-01-06 17:21:10 +0100
bot,5,28,2023-01-06 17:21:10 +0100
bot,7,5,2023-01-06 17:21:10 +0100
bot,6,51,2023-01-06 17:21:10 +0100
bot,7,85,2023-01-06 17:21:10 +0100
bot,7,80,2023-01-06 17:21:10 +0100
bot,5,46,2023-01-06 17:21:10 +0100
bot,5,53,2023-01-06 17:21:10 +0100
bot,5,65,2023-01-06 17:21:10 +0100
bot,6,89,2023-01-06 17:21:10 +0100
bot,7,8,2023-01-06 17:21:10 +0100
bot,7,90,2023-01-06 17:21:10 +0100
bot,7,72,2023-01-06 17:21:10 +0100
bot,4,31,2023-01-06 17:21:10 +0100
bot,7,45,2023-01-06 17:21:10 +0100
bot,7,100,2023-01-06 17:21:10 +0100
bot,5,53,2023-01-06 17:21:10 +0100
bot,7,100,2023-01-06 17:21:10 +0100
bot,7,39,2023-01-06 17:21:10 +0100
bot,7,98,2023-01-06 17:21:10 +0100
bot,7,77,2023-01-06 17:21:10 +0100
bot,6,82,2023-01-06 17:21:10 +0100
bot,5,9,2023-01-06 17:21:10 +0100
bot,7,64,2023-01-06 17:21:10 +0100
bot,7,24,2023-01-06 17:21:10 +0100
bot,7,67,2023-01-06 17:21:10 +0100
bot,7,47,2023-01-06 17:21:10 +0100
bot,5,71,2023-01-06 17:21:10 +0100
bot,7,77,2023-01-06 17:21:11 +0100
bot,7,64,2023-01-06 17:21:11 +0100
bot,7,96,2023-01-06 17:21:11 +0100
bot,6,48,2023-01-06 17:21:11 +0100
bot,3,88,2023-01-06 17:21:11 +0100
bot,5,3,2023-01-06 17:21:11 +0100
